,year,전용면적(㎡)_x,price,employment_rate(%),GDP(won),economysc,consumeprc,migrationpop,bankloan(1bw),room,bath,버스노선수,단지명_enc,enc_가좌동,enc_고양동,enc_관산동,enc_대화동,enc_덕은동,enc_덕이동,enc_도내동,enc_동산동,enc_마두동,enc_백석동,enc_사리현동,enc_삼송동,enc_성사동,enc_성석동,enc_식사동,enc_신원동,enc_원흥동,enc_일산동,enc_장항동,enc_주교동,enc_주엽동,enc_중산동,enc_지축동,enc_탄현동,enc_토당동,enc_풍동,enc_행신동,enc_향동동,enc_화정동
32,2012,59,14633,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0012377331800901778,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2012,59,12400,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.001591371231544514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2012,84,15300,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.001591371231544514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2012,58,11600,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0030943329502254443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2012,59,13800,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0030943329502254443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2012,84,15187,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0030943329502254443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2012,59,16522,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2012,84,22180,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2012,59,16055,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2012,84,18826,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2012,114,25025,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2012,134,28000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2012,59,17170,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2012,84,20263,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2012,59,16900,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2012,84,20689,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2012,92,24811,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0016797807444080984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2012,125,28700,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0016797807444080984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2012,59,18360,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2012,84,22385,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0017681902572716825,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2012,84,26500,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,0,0.0008840951286358412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2012,84,17575,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0025638758730439394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2012,115,23000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0025638758730439394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2012,46,7900,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.0018565997701352665,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2012,44,7375,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.001414552205817346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2012,57,10000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.001414552205817346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2012,52,11000,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.001414552205817346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2012,42,6833,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.00300592343736186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2012,45,8325,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.00300592343736186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2012,56,11100,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.00300592343736186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2012,68,13900,59.6,1514736.6,92.0,106.3,4562.0,1099781.8,3,2,4,0.00300592343736186,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
